916078.0715692	5463594.9410997	1600
916346.34186752	5464017.4650961	1600
916417.98176277	5464425.1021228	1600
916146.80892725	5465298.3543749	1600
916211.14300445	5465705.4315155	1600
916384.65206012	5466120.796969	1600
916566.01115957	5466335.6532357	1600
917146.8154484	5466592.0310507	1600
917446.88172233	5466592.4709612	1600
918064.50370594	5466460.6877853	1600
918261.0186672	5466475.6547388	1600
918725.45760133	5466913.2756623	1600
919423.40235423	5467167.6638823	1600
920434.49129011	5467155.5863407	1600
921651.05842001	5466947.1687635	1600
922365.93189125	5466599.8394613	1600
922891.24989381	5466528.5139794	1600
923996.34145467	5466535.492559	1600
924806.89970312	5466374.625303	1600
925574.00235213	5466869.8345046	1600
926374.63260404	5466931.9318649	1600
927286.26841187	5466790.450663	1600
928360.22366467	5467198.2076652	1600
929147.47091129	5467337.9092294	1600
929853.96660473	5467292.5784563	1600
930332.66260364	5467631.8294028	1600
930882.36356779	5468278.4777794	1600
931063.13721229	5468493.8439422	1600
931345.77177138	5468717.2284729	1600
931839.95346588	5468856.680088	1600
932012.80285401	5469172.0558941	1600
931901.31079329	5469565.655778	1600
931188.3091287	5469509.5771927	1600
931095.20530076	5469390.5014302	1600
930505.58620437	5469254.799052	1600
930207.28454112	5469231.413812	1600
929909.53534944	5469107.4890365	1600
928857.24192961	5468522.2381627	1600
927962.74923207	5468351.8528441	1600
927366.06344713	5468305.3623071	1600
925655.10847662	5468373.5884199	1600
924972.90504048	5468108.4023977	1600
924470.83207299	5468069.5603039	1600
923850.97546557	5468323.3886379	1600
922672.19079424	5468042.5358047	1600
921748.51605374	5468060.8920683	1600
920321.76235274	5468532.4960747	1600
918918.74019163	5468313.5006506	1600
917482.86658684	5468718.068302	1600
916618.67736709	5468149.6240072	1600
915941.75951714	5467908.3731131	1600
914843.89956173	5467814.1122996	1600
914625.88768439	5467987.5769914	1600
914422.72657263	5468061.6119218	1600
914074.10052164	5468415.1599581	1600
913667.54741447	5468663.7993483	1600
913266.66744818	5468935.2440965	1600
912786.396493	5469290.1118642	1600
912599.87549503	5469533.0224205	1600
912226.03365218	5470029.9912639	1600
911057.30066505	5470400.3258834	1600
910706.9512326	5470586.3280232	1600
910393.81529546	5470763.9718643	1600
910282.86746046	5470878.5585405	1600
909949.00147076	5471333.9458477	1600
910021.09488744	5471640.9533572	1600
910107.94011956	5471848.5311054	1600
910383.58220269	5472170.7755135	1600
910948.09270319	5472637.5804967	1600
911682.07179566	5473474.6701095	1600
912254.69620695	5473830.5276757	1600
912608.40994387	5474471.5971879	1600
912680.28072276	5474778.6546872	1600
912585.8163305	5474771.5361362	1600
912367.3097025	5474956.1785528	1600
912264.73964531	5474959.6278507	1600
911975.15383948	5474826.1250248	1600
911010.43128607	5474340.3139102	1600
910625.70492875	5474110.3807125	1600
909928.03228871	5474058.1313477	1600
908926.54976144	5474061.4906639	1600
908620.29085844	5474150.3525763	1600
908394.46192071	5474435.1246118	1600
908379.55343422	5474635.0839106	1600
908349.73646124	5475035.0125063	1600
908327.55514009	5475234.4319151	1600
908603.91461167	5475545.4886004	1600
909072.85577678	5476016.162796	1600
909255.72386573	5476208.5636334	1600
909239.11673532	5476430.7484083	1600
908593.06308057	5476963.3799927	1600
908354.03254612	5477425.895849	1600
908148.80997328	5477533.4639538	1600
907554.25161617	5477377.4457109	1600
906988.43827227	5476933.2061345	1600
906777.78168804	5476917.5493214	1600
906507.70554981	5476718.7497865	1600
906415.07998083	5476589.0061954	1600
906435.70283742	5476311.2727273	1600
906568.74953513	5475896.677117	1600
906489.15240015	5475689.7092447	1600
906278.59476605	5475573.54289	1600
905769.89213974	5475636.3601038	1600
905340.68769829	5476006.6947232	1600
905014.06980573	5476373.4800651	1600
904664.61917031	5476950.8125508	1600
904627.65305033	5477450.7207959	1600
905091.91882173	5477887.1919535	1600
904931.04239951	5478679.5206773	1600
905003.23476632	5478986.458201	1600
905198.85093056	5479302.5338647	1600
905568.96565178	5479430.4978181	1600
905546.71836387	5479730.4467643	1600
904907.15418859	5480185.714096	1600
904675.1161301	5480559.4880154	1600
904623.30749039	5481259.3655573	1600
905007.35768847	5481689.9379156	1600
905260.06807861	5482021.4304412	1600
905245.24205057	5482221.3997381	1600
904955.63975305	5482289.28592	1600
903736.45869051	5482299.6038198	1600
903214.45551735	5482551.4725527	1600
902887.58200362	5482828.9460738	1600
902662.19834148	5483214.4376081	1600
902727.02716933	5483621.3247874	1600
903126.02708312	5483650.7587962	1600
904039.5511893	5483528.3637093	1600
904939.11508108	5483594.9801498	1600
905968.79839585	5483481.5132456	1600
906259.16755689	5483402.5693144	1600
907861.47528295	5483633.682272	1600
908222.72572155	5483973.4531127	1600
909180.78563277	5484525.5207409	1600
910078.89825595	5484805.1538224	1600
910774.36925556	5484868.6009079	1600
911180.83990429	5484798.6451472	1600
911797.96713724	5484644.0566133	1600
912385.20318463	5484788.9171273	1600
912986.41593809	5484845.5356028	1600
913392.09498576	5484786.8475486	1600
914002.90590199	5484620.8413387	1600
914793.22060269	5484781.3786618	1600
916395.8169333	5484813.9620295	1600
916779.52080592	5485044.3551337	1600
917749.90000852	5485520.7681612	1600
918039.61774786	5485643.5131768	1600
918016.65307149	5485943.4421271	1600
917907.46160133	5486035.6433598	1600
917690.81028829	5486197.8403451	1600
917281.75044446	5486300.6394207	1600
915686.32799839	5486178.8942015	1600
915172.41399848	5486318.5457759	1600
914381.45612193	5486169.056204	1600
913374.49835403	5486271.465359	1600
912857.31899979	5486455.7578468	1600
911804.65451697	5487068.9030428	1600
911690.57326113	5487227.8806834	1600
911593.75880325	5487544.566223	1600
912300.57608462	5487743.1857945	1600
913088.97774944	5488115.6599785	1600
913894.8276208	5488545.4424975	1600
914264.81865436	5488953.409457	1600
914827.0285643	5489420.7243364	1600
915211.26841681	5489639.9097219	1600
915898.54304719	5489804.0263164	1600
916172.78333678	5490126.6406492	1600
915969.49029151	5490211.683339	1600
915555.68084136	5490381.2388265	1600
915119.40971135	5490750.2337186	1600
914682.87471432	5491219.7881422	1600
914496.54337076	5491082.7060449	1600
914206.58650194	5490870.7191942	1600
913485.05863436	5489910.9445535	1600
912626.81466834	5489309.6369479	1600
912133.44106658	5489182.9427362	1600
911246.98806723	5489048.9800039	1600
909692.52272978	5488395.7329704	1600
909481.22296969	5488491.5834604	1600
909727.49335544	5489191.550984	1600
909616.84237083	5489306.1276622	1600
909234.92784642	5489054.0189782	1600
909052.57924565	5488861.588147	1600
908569.10890289	5488601.9210015	1600
908364.98302735	5488407.8904958	1600
907948.51016949	5487348.9760348	1600
907506.95345329	5486623.373729	1600
907138.41368832	5486383.6225297	1600
906747.04942635	5486253.8989345	1600
905513.80095344	5486463.7262248	1600
904811.30449449	5486400.4091128	1600
904505.77947164	5486489.4509886	1600
904186.28598854	5486767.3744181	1600
904049.54515258	5487137.029176	1600
903996.89543675	5487848.014457	1600
903779.11444305	5488032.9568125	1600
